company,max_word,max_difference,min_word,min_difference,category_2017,category_2016,link,max_sentence_1,max_sentence_2,max_sentence_3,min_sentence_1,min_sentence_2,min_sentence_3,ticker
3M,strategic,0.1601342818594297,electronics,-0.17164227425445902,1,2,https://seekingalpha.com/symbol/MMM/transcripts,this includes accelerated strategic investments to support growth and strengthening our portfolio along with m&a.,"note that these results include impacts from both m&a and strategic investments, which nick will cover in more detail.","during the quarter, we made incremental strategic investments of $178 million; $39 million was growth related and $139 million related to portfolio and footprint actions.","organic growth in electronics & energy declined in the high single digits, as we communicated during the second quarter.",that business continues to be impacted by weaker demand and elevated channel inventories in the consumer electronics market.,strong growth from our health care and consumer businesses was more than offset by a double digit decline in electronics & energy as we continued to experience soft end market demand and channel inventory adjustments in consumer electronics.,MMM
American Express,member,0.24444496962581178,complex,-0.11227151829468715,1,0,https://seekingalpha.com/symbol/AXP/transcripts,"and lending efforts that have broadened our card member relationships and successfully balanced growth, the strong credit quality and industry leading presence with smes who use our cards for an expanding portion of their payments needs, a larger merchant network that accommodates a greater share of our card member spending, a card acquisition engine that has successfully been redesigned for digital age and the more agile technology infrastructure that brings customized products and services market more quickly and efficiently.",turning now to expenses on slide 14. performance vary across the lines and i'll discuss the changes to marketing and promotion rewards in card member services expenses when i come back to card member engagement spending in just a minute.,"moving to the summary of our card member engagement spending on slide 15, total engagement spending in q2 was $3.1 billion or 10% higher than the prior year in the quarter and up 7% year to date.","these efforts cut across all our businesses, customer segments and geographies, including our initiatives to grow lending, our push towards parity coverage in the u.s., our focus on accelerating growth in small business and middle market, continued strong growth outside the u.s., and of course, our efforts to grow our consumer business in the u.s. where there will be many complex market dynamics in coming quarters.","as you are all well aware, ccar continues to be a very complex process.","while we believe that we have taken a balanced approach, we will have an updated view on the complex dynamics within the u.s. consumer marketplace as we progress through the balance of the year.",AXP
Apple,app,0.16108770158847566,sell,-0.13810045351423583,1,1,https://seekingalpha.com/symbol/AAPL/transcripts,"and for high school and community college students who want to pursue careers in the fast growing app economy, we announced app development with swift, an innovative full year curriculum designed by apple engineers and educators and provided free to schools to teach students to code and design fully functional apps, gaining critical job skills in software development and information technology.","and according to app annie's latest report, it continues to be by a wide margin the preferred destination for customer purchases, generating nearly twice the revenue of google play.","sap has also released successfactors mobile, its first native ios app for human resources, which will support 47 million iphone and ipad users worldwide across multiple industries.",so our sell through was markedly greater than our sell in.,"iphone unit sell through was down just 8% year on year, an even greater improvement over the march quarter than we predicted, and we expect the september quarter sell through comparison to improve further.","we also reduced channel inventory by over 4 million units compared to about 0.5 million units a year ago, so sell through was down by 8%.",AAPL
Boeing,capex,0.1297747853691654,deferred,-0.07979303364274193,0,1,https://seekingalpha.com/symbol/BA/transcripts,"we're also lowering capex guidance, spending guidance by 300 million to $2 billion for the year on improved efficiency, disciplined spending and some favorable timing.","and then second, on capex, you've taken down capex 300 million for this year.","and then on the capex point, you did see us reduced our guidance for the end of the year in terms of capex spend this year, reflecting some efficiencies in our performance as well as a bit of timing, but you should expect to see a very stable capex profile going forward.",these charges also include the write down of the remaining 747 deferred production costs which significantly derisked the program going forward.,"787 deferred production declined by $1 billion in the quarter driven by the cost reclassification, bringing the balance at the end of the quarter to $27.7 billion.","when normalizing for the cost reclassification, deferred was better than planned at an increase of just $33 million.",BA
Caterpillar,construction,0.24906747891415262,reduction,-0.10131733911849919,0,3,https://seekingalpha.com/symbol/CAT/transcripts,construction in china and gas compression in north america were highlights.,mining and oil related activities have come off recent lows and we're seeing improving demand for construction in most regions.,"while many of our end markets are far off previous peaks, we are starting to see several markets recover, and demand for china construction and north america gas compressions remain strong.","and then the bottom, the most substantial positive in the quarter from a profit standpoint was cost reduction.",that includes the cost reduction but is not exclusively cost reduction.,it just highlights how well we've done on cost reduction.,CAT
Chevron,returns,0.1423118475530756,upstream,-0.3097036990467989,0,3,https://seekingalpha.com/symbol/CVX/transcripts,let's turn to slide 12. this slide illustrates our returns focused permian development strategy.,"we're then applying petrophysical modeling to evaluate the physical and chemical properties of rocks and their contained fluids, and we integrate geophysical information with production data to identify the most productive intervals, and to select well locations that offer the highest returns.","our current financial metrics, the competitiveness of our current spend, and the attractiveness of returns for future investments.","on the call with me today are jay johnson, executive vice president, upstream; and frank mount, general manager of investor relations.","i'll begin with a recap of our second quarter 2016 financial results, and then jay will provide an update on our upstream business prior to my concluding remarks.","upstream cash generation was stronger than the first quarter, commensurate with rising crude prices.",CVX
Cisco Systems,network,0.22136090622618426,center,-0.1551789347832263,2,1,https://seekingalpha.com/symbol/CSCO/transcripts,"accelerating our pace of innovation, increasing the value of the network and delivering technology in the way our customers want to consume it.","in june, we announced a new era of networking with the launch of the network intuitive.","the network intuitive is a new intent based network that creates a fully integrated intuitive system that is designed to anticipate actions, stop security threats in their tracks and continue to evolve and learn over time.","we had strong performance in security; data center switching, collaboration and services as well as continued success in the transition of our business model to software and subscriptions.","second, next generation data center.","over the past year we have continued to invest heavily in our data center portfolio, building upon our core networking foundation as customers look to cisco for an open programmable and automated infrastructure that accelerates application deployments and provides network services in an agile way.",CSCO
Coca-Cola,zero,0.20233818315119512,emerging,-0.19931031780252512,1,2,https://seekingalpha.com/symbol/KO/transcripts,"not only did we see a strong performance in rapidly expanding areas of our business, such as innocent in europe, but our revenue growth was also largely driven by innovation in sparkling soft drinks where we have continued to roll out coca cola zero sugar around the world.","specifically, we continue to see excellent results from coca cola zero sugar.","there's some great examples that you've highlighted today in terms of portfolio progress, especially in europe with smartwater and innocent and zero sugar and honest.","this was largely due to a weakening demand in certain large emerging and developing markets, which also impacted our company owned bottling operations' revenue growth.","despite weaker conditions in several emerging and developing markets, we continued to see a positive return on our marketing investments, with solid performance in key markets such as united states, japan, and mexico, which james will touch on in more detail.","while the macroeconomic headwinds we are facing in these emerging and developing markets are cyclical in nature and not secular downturns, we're not expecting a material improvement in the remainder of the year, given the continuing volatility in the global economy.",KO
DuPont,electronics,0.242128267274377,dow,-0.21481976865673308,1,3,https://seekingalpha.com/symbol/DD/transcripts,"the gains were driven by our productive innovation pipeline as well as favorable market conditions in electronics & communications, performance materials, and protection solutions.","electronics & communications growth was driven by film and laminate applications in consumer electronics markets, coupled with strength in semiconductor and photovoltaics.","electronics & communications, industrial biosciences, and ag led our operating margin growth.","today, i would like to give you my perspective on the second quarter and update you on our progress with our strategic plan, as well as our mergers with dow.","just last week, the shareholders of dupont and dow voted overwhelmingly in favor of the transaction, providing further validation of the plan we are executing.","together, dow and dupont have already identified synergies, division by division, to yield about 80% of our expected run rate savings.",DD
ExxonMobil,oil,0.1367849287014322,lng,-0.12749175882146518,0,3,https://seekingalpha.com/symbol/XOM/transcripts,"as you know, the commodity price environment weakened in the quarter, as both crude oil and natural gas prices decreased.","moving to slide 10, oil equivalent production in the quarter was 3.9 million barrels per day, a decrease of nearly 1% compared to the second quarter of 2016. liquids production was down 61,000 barrels per day, as new project volumes and buildup from work programs were more than offset by field decline and lower entitlements.","moving to slide 12, sequentially volumes decreased 5.5% or 229,000 oil equivalent barrels per day.",chart 17 showcases a good opportunity to add quality resources to our successful lng operation in papua new guinea.,exxonmobil has a long and successful history in the global lng business and is proud to have started up the papua new guinea lng project ahead of schedule given its many complexities.,"in 2015, png lng produced 7.4 million tons per annum, exceeding the original design capacity of 6.9 million tons by 7%.",XOM
