link_URL,adjective_score,important_phrase,Date,District,Category,color
https://www.minneapolisfed.org/news-and-events/beige-book-archive/2012-01-at,0.5,Permitting for   shallow water rigs in the Gulf of Mexico picked up slightly,201201,Atlanta,"Agriculture, Energy, Natural Resources",#92c5de
https://www.minneapolisfed.org/news-and-events/beige-book-archive/2012-01-at,0.9285714285714286,Commercial contractors noted a slight improvement in demand   compared with earlier in the year,201201,Atlanta,Economy,#92c5de
https://www.minneapolisfed.org/news-and-events/beige-book-archive/2012-01-at,0.5833333333333334,Many   businesses reported slightly improved margins in late November and December,201201,Atlanta,"Employment, Prices, Wages",#92c5de
https://www.minneapolisfed.org/news-and-events/beige-book-archive/2012-01-at,0.375,"Availability of credit/capital was not an issue for most large firms because   of positive cash flow, adequate cash reserves, or a strong, long-standing   relationship with their bank",201201,Atlanta,Finance,#92c5de
https://www.minneapolisfed.org/news-and-events/beige-book-archive/2012-01-at,1.2857142857142858,Trucking firms continued to report increased   demand for their services but were struggling to meet customer needs because of   a significant shortage of long-haul drivers,201201,Atlanta,"Manufacturing, Services",#0571b0
https://www.minneapolisfed.org/news-and-events/beige-book-archive/2012-01-at,0.4375,The outlook among contacts improved modestly from early   November with most contractors and commercial real estate brokers anticipating   that construction activity will improve slowly during 2012,201201,Atlanta,"Real Estate, Construction",#92c5de
https://www.minneapolisfed.org/news-and-events/beige-book-archive/2012-01-at,1.6,Hospitality contacts reported that holiday activity slightly exceeded   cautiously optimistic projections,201201,Atlanta,"Retail, Consumer Spending",#0571b0
https://www.minneapolisfed.org/news-and-events/beige-book-archive/2012-01-bo,0.75,"Some firms are hiring, but modestly; wage increases, if occurring, remain   moderate",201201,Boston,Economy,#92c5de
https://www.minneapolisfed.org/news-and-events/beige-book-archive/2012-01-bo,0.575,"The outlook remains guarded; general concerns about ""macroeconomic   uncertainty"" remain",201201,Boston,"Manufacturing, Services",#92c5de
https://www.minneapolisfed.org/news-and-events/beige-book-archive/2012-01-bo,0.07692307692307693,"In Hartford, leasing activity saw a modest seasonal slowdown   in December and business sentiment held steady",201201,Boston,"Real Estate, Construction",#D3D3D3
https://www.minneapolisfed.org/news-and-events/beige-book-archive/2012-01-bo,1.125,"As in mid-November, retail contacts   for this round report a slight improvement in business conditions from earlier   in the year",201201,Boston,"Retail, Consumer Spending",#0571b0
https://www.minneapolisfed.org/news-and-events/beige-book-archive/2012-01-ch,1.0,"Milk and hog prices fell during the reporting   period, while cattle prices increased",201201,Chicago,"Agriculture, Energy, Natural Resources",#92c5de
https://www.minneapolisfed.org/news-and-events/beige-book-archive/2012-01-ch,0.5384615384615384,"Consumer   spending increased, while business spending was steady",201201,Chicago,Economy,#92c5de
https://www.minneapolisfed.org/news-and-events/beige-book-archive/2012-01-ch,0.5,"Wile pressure on costs remained from commodities such as   steel and food, it moderated significantly for cotton and energy goods",201201,Chicago,"Employment, Prices, Wages",#92c5de
https://www.minneapolisfed.org/news-and-events/beige-book-archive/2012-01-ch,-0.16666666666666666,"Because   lenders continue to see their clients' balance sheets growing stronger, they   speculated that uncertainty about future business conditions was restraining the   demand for credit",201201,Chicago,Finance,#D3D3D3
https://www.minneapolisfed.org/news-and-events/beige-book-archive/2012-01-ch,0.7333333333333333,A staffing firm   noted slower growth in billable hours and below-average seasonal hiring in   office and clerical positions,201201,Chicago,"Manufacturing, Services",#92c5de
https://www.minneapolisfed.org/news-and-events/beige-book-archive/2012-01-ch,0.375,Nonresidential construction was also up moderately with the strongest gains in   Class A properties,201201,Chicago,"Real Estate, Construction",#92c5de
https://www.minneapolisfed.org/news-and-events/beige-book-archive/2012-01-ch,0.5,Auto sales increased since the last reporting period,201201,Chicago,"Retail, Consumer Spending",#92c5de
https://www.minneapolisfed.org/news-and-events/beige-book-archive/2012-01-cl,0.08333333333333333,Activity in shale-gas extraction expanded,201201,Cleveland,"Agriculture, Energy, Natural Resources",#D3D3D3
https://www.minneapolisfed.org/news-and-events/beige-book-archive/2012-01-cl,0.38461538461538464,Freight transport volume slowed along seasonal trends,201201,Cleveland,Economy,#92c5de
https://www.minneapolisfed.org/news-and-events/beige-book-archive/2012-01-cl,0.45454545454545453,"Payrolls were stable, with little hiring expected in the   near term",201201,Cleveland,Finance,#92c5de
https://www.minneapolisfed.org/news-and-events/beige-book-archive/2012-01-cl,0.2,New   hiring remained at a low level,201201,Cleveland,"Manufacturing, Services",#D3D3D3
https://www.minneapolisfed.org/news-and-events/beige-book-archive/2012-01-cl,0.5,Employment and wages were stable,201201,Cleveland,"Real Estate, Construction",#92c5de
https://www.minneapolisfed.org/news-and-events/beige-book-archive/2012-01-cl,0.6,"The outlook for 2012 is somewhat tentative, mainly because of   uncertainty",201201,Cleveland,"Retail, Consumer Spending",#92c5de
https://www.minneapolisfed.org/news-and-events/beige-book-archive/2012-01-da,1.4,"Respondents cited strong orders, growing backlogs, and good pricing for their   products as evidence of future growth",201201,Dallas,"Agriculture, Energy, Natural Resources",#0571b0
https://www.minneapolisfed.org/news-and-events/beige-book-archive/2012-01-da,0.2857142857142857,Agricultural conditions remained weak,201201,Dallas,Economy,#D3D3D3
https://www.minneapolisfed.org/news-and-events/beige-book-archive/2012-01-da,0.6363636363636364,Contacts across industries said prices held steady   or declined,201201,Dallas,"Employment, Prices, Wages",#92c5de
https://www.minneapolisfed.org/news-and-events/beige-book-archive/2012-01-da,0.0,Financial firms reported flat to   modest increases in loan demand,201201,Dallas,Finance,#D3D3D3
https://www.minneapolisfed.org/news-and-events/beige-book-archive/2012-01-da,0.625,"However, some contacts noted a slight slowdown in activity as some   clients delayed hiring until the start of 2012",201201,Dallas,"Manufacturing, Services",#92c5de
https://www.minneapolisfed.org/news-and-events/beige-book-archive/2012-01-da,0.0,"Demand for office space continued to rise modestly   since the last report, and there were some reports of improvement in demand for   warehouse and retail space",201201,Dallas,"Real Estate, Construction",#D3D3D3
https://www.minneapolisfed.org/news-and-events/beige-book-archive/2012-01-da,0.5384615384615384,"Contacts expect 2012 will be   another good year, with moderate increases in sales",201201,Dallas,"Retail, Consumer Spending",#92c5de
https://www.minneapolisfed.org/news-and-events/beige-book-archive/2012-01-kc,0.9230769230769231,District coal production declined slightly in November and   December and remained below year-ago levels,201201,Kansas City,"Agriculture, Energy, Natural Resources",#92c5de
https://www.minneapolisfed.org/news-and-events/beige-book-archive/2012-01-kc,0.8,"Consumer spending softened, with weakness in auto, restaurant, and   tourism sales",201201,Kansas City,Economy,#92c5de
https://www.minneapolisfed.org/news-and-events/beige-book-archive/2012-01-kc,0.4,"Few contacts outside of the energy, high-tech, and   transportation sectors reported either hiring shortages or upward wage   pressures, and most expected little wage pressure in the coming months",201201,Kansas City,"Employment, Prices, Wages",#92c5de
