age_bracket,health_bracket,religious_bracket,income_bracket,friends_bracket,happiness,count
1,2,2,0,2,100,1
1,2,4,0,3,100,1
2,0,0,0,0,0,7
2,0,0,0,1,36.3636363636364,11
2,0,0,0,2,33.3333333333333,6
2,0,0,0,3,0,3
2,0,0,0,4,75,4
2,0,0,1,2,0,1
2,0,0,2,1,100,1
2,0,0,2,3,0,2
2,0,0,3,2,0,1
2,0,0,3,3,0,1
2,0,0,3,4,0,1
2,0,0,4,1,0,1
2,0,0,4,3,0,1
2,0,1,0,1,50,2
2,0,1,0,2,66.6666666666667,3
2,0,1,0,3,50,2
2,0,1,1,0,0,1
2,0,1,2,4,0,1
2,0,1,3,2,100,1
2,0,1,3,3,0,1
2,0,1,4,3,0,1
2,0,2,0,1,0,1
2,0,2,0,3,100,2
2,0,2,0,4,100,1
2,0,2,1,2,0,1
2,0,2,1,3,100,1
2,0,2,2,0,0,1
2,0,2,2,1,0,1
2,0,2,2,2,0,1
2,0,2,2,4,100,1
2,0,2,3,3,100,2
2,0,2,4,1,0,1
2,0,3,0,0,0,1
2,0,3,0,1,0,2
2,0,3,0,2,50,2
2,0,3,0,3,0,2
2,0,3,2,1,0,1
2,0,3,3,1,0,1
2,0,4,0,0,50,2
2,0,4,0,1,100,1
2,0,4,0,3,100,1
2,0,4,2,3,100,1
2,1,0,0,0,12.5,8
2,1,0,0,1,38.8888888888889,54
2,1,0,0,2,41.8604651162791,43
2,1,0,0,3,40.625,32
2,1,0,0,4,70,20
2,1,0,1,0,0,1
2,1,0,1,1,44.4444444444444,9
2,1,0,1,2,22.2222222222222,9
2,1,0,1,3,50,8
2,1,0,1,4,66.6666666666667,3
2,1,0,2,1,33.3333333333333,9
2,1,0,2,2,27.2727272727273,11
2,1,0,2,3,44.4444444444444,9
2,1,0,2,4,50,4
2,1,0,3,1,0,3
2,1,0,3,2,50,12
2,1,0,3,3,20,5
2,1,0,3,4,100,7
2,1,0,4,0,0,1
2,1,0,4,1,50,2
2,1,0,4,2,0,3
2,1,0,4,3,50,6
2,1,0,4,4,80,5
2,1,1,0,0,20,5
2,1,1,0,1,33.3333333333333,15
2,1,1,0,2,52.9411764705882,17
2,1,1,0,3,50,20
2,1,1,0,4,75,4
2,1,1,1,1,66.6666666666667,3
2,1,1,1,2,33.3333333333333,3
2,1,1,1,3,28.5714285714286,7
2,1,1,1,4,50,2
2,1,1,2,1,33.3333333333333,3
2,1,1,2,2,50,2
2,1,1,2,3,50,2
2,1,1,2,4,33.3333333333333,3
2,1,1,3,1,0,3
2,1,1,3,2,0,2
2,1,1,3,3,25,4
2,1,1,4,1,0,1
2,1,1,4,3,100,3
2,1,1,4,4,0,1
2,1,2,0,0,0,2
2,1,2,0,1,37.5,24
2,1,2,0,2,47.0588235294118,17
2,1,2,0,3,37.5,16
2,1,2,0,4,41.6666666666667,12
2,1,2,1,1,8.33333333333333,12
2,1,2,1,2,25,8
2,1,2,1,3,50,8
2,1,2,1,4,0,1
2,1,2,2,1,50,4
2,1,2,2,2,57.1428571428571,7
2,1,2,2,3,75,4
2,1,2,2,4,0,1
2,1,2,3,0,0,1
2,1,2,3,1,66.6666666666667,3
2,1,2,3,2,100,2
2,1,2,3,3,100,1
2,1,2,3,4,66.6666666666667,3
2,1,2,4,1,66.6666666666667,3
2,1,2,4,2,100,2
2,1,2,4,3,0,2
2,1,2,4,4,100,1
2,1,3,0,0,33.3333333333333,3
2,1,3,0,1,55.5555555555556,9
2,1,3,0,2,63.6363636363636,11
2,1,3,0,3,16.6666666666667,6
2,1,3,0,4,40,5
2,1,3,1,1,0,1
2,1,3,1,2,66.6666666666667,3
2,1,3,1,3,100,2
2,1,3,2,0,0,1
2,1,3,2,1,66.6666666666667,3
2,1,3,2,2,25,4
2,1,3,2,3,50,2
2,1,3,3,0,100,1
2,1,3,3,1,100,2
2,1,3,3,2,33.3333333333333,3
2,1,3,3,3,50,2
2,1,3,4,2,0,1
2,1,3,4,3,0,1
2,1,3,4,4,100,2
2,1,4,0,1,50,6
2,1,4,0,2,50,2
2,1,4,0,3,57.1428571428571,7
2,1,4,0,4,50,2
2,1,4,1,1,50,2
2,1,4,1,2,50,2
2,1,4,2,1,0,2
2,1,4,2,2,100,1
2,1,4,2,3,66.6666666666667,3
2,1,4,3,2,0,1
2,1,4,3,3,100,1
2,1,4,4,2,50,2
2,1,4,4,3,100,2
