,employee_length,years_credit,zip,quartile,purpose,rate,count
522,5,0,3,0.0,debt_consolidation,0.23076923076923078,299
523,5,0,3,46000.0,debt_consolidation,0.22872340425531915,188
570,5,10,5,0.0,debt_consolidation,0.2215568862275449,167
101,0,15,1,0.0,debt_consolidation,0.21973094170403587,223
423,1,15,9,46000.0,other,0.21804511278195488,133
518,5,0,1,46000.0,debt_consolidation,0.21768707482993196,147
67,0,10,5,46000.0,debt_consolidation,0.21705426356589147,129
96,0,15,0,0.0,debt_consolidation,0.21379310344827587,145
565,5,10,4,0.0,debt_consolidation,0.20654911838790932,397
594,5,10,9,0.0,other,0.20610687022900764,131
224,1,0,3,0.0,other,0.20526315789473684,190
587,5,10,8,0.0,debt_consolidation,0.20353982300884957,339
785,9,10,6,0.0,debt_consolidation,0.20307692307692307,325
82,0,10,8,0.0,debt_consolidation,0.20103092783505155,388
61,0,10,4,0.0,debt_consolidation,0.20048309178743962,414
866,9,15,3,91690.5,other,0.2,105
171,0,20,3,46000.0,debt_consolidation,0.2,290
748,9,10,1,46000.0,debt_consolidation,0.19969512195121952,656
23,0,0,8,0.0,debt_consolidation,0.19873817034700317,317
597,5,10,9,46000.0,other,0.1984732824427481,131
541,5,10,1,0.0,debt_consolidation,0.19811320754716982,424
245,1,0,8,65000.0,debt_consolidation,0.19626168224299065,107
637,5,15,5,0.0,debt_consolidation,0.19548872180451127,133
219,1,0,2,0.0,other,0.1941747572815534,103
9,0,0,2,0.0,debt_consolidation,0.19333333333333333,300
735,9,0,3,0.0,debt_consolidation,0.19327731092436976,119
214,1,0,1,46000.0,debt_consolidation,0.19230769230769232,416
140,0,15,8,0.0,debt_consolidation,0.1921182266009852,203
726,5,20,9,0.0,credit_card,0.192,125
115,0,15,3,0.0,debt_consolidation,0.19130434782608696,345
382,1,15,4,0.0,debt_consolidation,0.19111111111111112,450
124,0,15,4,46000.0,debt_consolidation,0.19047619047619047,189
528,5,0,8,0.0,debt_consolidation,0.1891891891891892,148
18,0,0,6,0.0,debt_consolidation,0.1890547263681592,201
532,5,0,9,65000.0,debt_consolidation,0.18867924528301888,159
